hari,jam,menit,motor,mobil,bus,truk,total_kendaraan
Rabu,16,30,73,21,5,5,104
Rabu,16,40,57,14,8,4,83
Rabu,16,50,46,17,3,2,68
Rabu,16,60,65,25,2,4,96
Rabu,17,10,71,22,6,2,101
Rabu,17,20,80,20,8,4,112
Rabu,17,30,76,20,6,6,108
Rabu,17,40,86,20,7,6,119
Rabu,17,50,58,27,6,5,96
Rabu,17,60,70,15,4,4,93
Rabu,18,10,56,13,6,1,76
Rabu,18,20,52,11,4,3,70
Rabu,18,30,44,15,7,2,68
Rabu,18,40,61,12,6,5,84
Rabu,18,50,28,13,6,3,50
Rabu,18,60,57,14,5,3,79
Rabu,19,10,41,11,3,2,57
Rabu,19,20,29,9,3,2,43
Rabu,19,30,35,16,4,2,57
Rabu,19,40,41,9,1,1,52
Rabu,19,50,20,9,3,4,36
Rabu,19,60,35,10,4,0,49
Kamis,6,10,29,11,2,3,45
Kamis,6,20,30,8,4,4,46
Kamis,6,30,29,10,3,1,43
Kamis,6,40,33,6,3,2,44
Kamis,6,50,31,10,4,1,46
Kamis,6,60,26,6,3,2,37
Kamis,7,10,81,17,8,7,113
Kamis,7,20,77,31,4,2,114
Kamis,7,30,51,29,7,4,91
Kamis,7,40,75,16,11,4,106
Kamis,7,50,73,26,7,4,110
Kamis,7,60,63,24,10,7,104
Kamis,8,10,64,13,2,3,82
Kamis,8,20,49,19,1,5,74
Kamis,8,30,46,13,2,1,62
Kamis,8,40,56,15,1,2,74
Kamis,8,50,45,22,3,1,71
Kamis,8,60,46,14,0,3,63
Kamis,15,10,36,14,6,4,60
Kamis,15,20,36,9,7,3,55
Kamis,15,30,38,12,4,3,57
Kamis,15,40,33,10,4,2,49
Kamis,15,50,32,12,4,5,53
Kamis,15,60,17,15,5,1,38
Kamis,16,10,52,16,2,2,72
Kamis,16,20,44,24,7,4,79
Kamis,16,30,62,12,4,3,81
Kamis,16,40,43,20,5,3,71
Kamis,16,50,62,19,4,4,89
Kamis,16,60,44,19,6,3,72
Kamis,17,10,82,18,9,4,113
Kamis,17,20,71,29,6,1,107
Kamis,17,30,58,27,4,8,97
Kamis,17,40,51,32,7,4,94
Kamis,17,50,71,26,7,6,110
Kamis,17,60,79,25,6,4,114
Kamis,18,10,55,9,2,4,70
Kamis,18,20,54,15,5,3,77
Kamis,18,30,47,13,5,2,67
Kamis,18,40,56,9,7,3,75
Kamis,18,50,55,20,8,4,87
Kamis,18,60,34,11,4,3,52
Kamis,19,10,36,8,3,1,48
Kamis,19,20,28,6,2,1,37
Kamis,19,30,25,13,2,5,45
Kamis,19,40,35,11,2,3,51
Kamis,19,50,28,10,6,2,46
Kamis,19,60,40,8,3,4,55
Jumat,6,10,27,15,4,2,48
Jumat,6,20,35,13,4,1,53
Jumat,6,30,26,9,3,3,41
Jumat,6,40,32,6,4,3,45
Jumat,6,50,34,13,4,3,54
Jumat,6,60,30,5,4,2,41
Jumat,7,10,82,18,4,7,111
Jumat,7,20,79,28,7,4,118
Jumat,7,30,90,22,7,3,122
Jumat,7,40,74,23,7,3,107
Jumat,7,50,94,20,6,4,124
Jumat,7,60,97,25,9,1,132
Jumat,8,10,55,20,5,4,84
Jumat,8,20,48,22,9,3,82
Jumat,8,30,48,22,8,3,81
Jumat,8,40,49,15,2,2,68
Jumat,8,50,43,13,4,4,64
Jumat,8,60,68,13,6,3,90
Jumat,15,10,41,15,3,4,63
Jumat,15,20,43,15,5,6,69
Jumat,15,30,37,12,4,3,56
Jumat,15,40,37,17,6,3,63
Jumat,15,50,35,15,4,4,58
Jumat,15,60,43,9,6,5,63
Jumat,16,10,54,17,6,4,81
Jumat,16,20,67,27,5,3,102
Jumat,16,30,47,16,5,5,73
Jumat,16,40,55,20,5,4,84
Jumat,16,50,86,17,5,4,112
Jumat,16,60,67,26,7,3,103
Jumat,17,10,93,32,9,5,139
Jumat,17,20,100,32,10,6,148
Jumat,17,30,84,27,10,3,124
Jumat,17,40,91,24,8,7,130
Jumat,17,50,88,27,5,6,126
Jumat,17,60,94,37,7,5,143
Jumat,18,10,60,24,5,4,93
Jumat,18,20,63,18,5,3,89
Jumat,18,30,68,13,6,3,90
Jumat,18,40,69,12,4,4,89
Jumat,18,50,73,17,4,5,99
Jumat,18,60,43,9,6,3,61
Jumat,19,10,28,13,4,2,47
Jumat,19,20,26,14,4,2,46
Jumat,19,30,48,8,2,2,60
Jumat,19,40,35,12,3,3,53
Jumat,19,50,26,15,3,3,47
Jumat,19,60,38,12,4,3,57
Sabtu,6,10,28,12,3,2,45
Sabtu,6,20,23,12,2,4,41
Sabtu,6,30,24,3,3,1,31
Sabtu,6,40,29,6,2,0,37
Sabtu,6,50,21,0,1,2,24
Sabtu,6,60,29,9,2,2,42
Sabtu,7,10,61,13,8,5,87
Sabtu,7,20,59,19,6,0,84
Sabtu,7,30,58,15,3,3,79
Sabtu,7,40,83,22,4,5,114
Sabtu,7,50,78,23,5,2,108
Sabtu,7,60,70,21,7,5,103
Sabtu,8,10,51,11,6,3,71
Sabtu,8,20,62,10,7,3,82
Sabtu,8,30,34,11,3,3,51
Sabtu,8,40,46,10,3,5,64
Sabtu,8,50,58,14,3,3,78
Sabtu,8,60,47,9,3,1,60
Sabtu,15,10,35,12,3,4,54
Sabtu,15,20,22,6,4,4,36
Sabtu,15,30,46,9,4,3,62
Sabtu,15,40,31,13,4,1,49
Sabtu,15,50,44,14,3,3,64
Sabtu,15,60,36,11,3,2,52
Sabtu,16,10,46,19,5,2,72
Sabtu,16,20,54,3,7,1,65
Sabtu,16,30,43,10,2,4,59
Sabtu,16,40,42,16,4,3,65
Sabtu,16,50,48,9,6,2,65
Sabtu,16,60,31,13,7,3,54
Sabtu,17,10,62,19,5,8,94
Sabtu,17,20,71,23,8,4,106
Sabtu,17,30,63,19,6,3,91
Sabtu,17,40,76,21,7,3,107
Sabtu,17,50,67,10,8,4,89
Sabtu,17,60,79,6,10,3,98
Sabtu,18,10,55,9,5,1,70
Sabtu,18,20,38,21,4,3,66
Sabtu,18,30,53,16,5,3,77
Sabtu,18,40,68,13,5,4,90
Sabtu,18,50,55,18,6,1,80
Sabtu,18,60,61,9,5,2,77
Sabtu,19,10,27,9,3,2,41
Sabtu,19,20,38,10,2,3,53
Sabtu,19,30,36,5,3,2,46
Sabtu,19,40,25,13,2,2,42
Sabtu,19,50,26,9,1,0,36
Sabtu,19,60,38,6,2,0,46
Minggu,6,10,17,3,4,3,27
Minggu,6,20,17,14,3,1,35
Minggu,6,30,6,14,1,0,21
Minggu,6,40,27,14,4,2,47
Minggu,6,50,25,9,3,2,39
Minggu,6,60,22,7,1,1,31
Minggu,7,10,34,16,3,1,54
Minggu,7,20,56,23,6,0,85
Minggu,7,30,42,21,3,3,69
Minggu,7,40,61,12,5,0,78
Minggu,7,50,47,18,1,4,70
Minggu,7,60,54,19,5,6,84
Minggu,8,10,37,10,3,3,53
Minggu,8,20,36,11,2,2,51
Minggu,8,30,22,18,1,2,43
Minggu,8,40,29,15,2,3,49
Minggu,8,50,29,12,1,4,46
Minggu,8,60,24,12,4,3,43
Minggu,15,10,27,9,3,2,41
Minggu,15,20,36,16,2,1,55
Minggu,15,30,28,17,2,4,51
Minggu,15,40,42,7,4,4,57
Minggu,15,50,25,8,2,1,36
Minggu,15,60,23,5,3,1,32
Minggu,16,10,44,7,4,3,58
Minggu,16,20,21,14,6,1,42
Minggu,16,30,58,14,2,2,76
Minggu,16,40,47,13,5,1,66
Minggu,16,50,43,7,4,1,55
Minggu,16,60,34,18,6,3,61
Minggu,17,10,44,16,8,3,71
Minggu,17,20,89,20,6,2,117
Minggu,17,30,60,17,7,5,89
Minggu,17,40,48,11,2,4,65
Minggu,17,50,44,7,6,8,65
Minggu,17,60,58,22,5,3,88
Minggu,18,10,48,11,4,3,66
Minggu,18,20,32,16,3,1,52
Minggu,18,30,44,8,4,2,58
Minggu,18,40,50,14,4,3,71
Minggu,18,50,53,14,4,1,72
Minggu,18,60,28,11,3,2,44
Minggu,19,10,24,9,2,2,37
Minggu,19,20,24,2,1,1,28
Minggu,19,30,16,9,4,3,32
Minggu,19,40,23,12,2,1,38
Minggu,19,50,20,7,2,2,31
Minggu,19,60,25,8,3,3,39
Senin,6,10,35,5,1,3,44
Senin,6,20,21,9,2,0,32
Senin,6,30,33,12,3,0,48
Senin,6,40,26,11,2,2,41
Senin,6,50,29,11,3,1,44
Senin,6,60,37,9,3,1,50
Senin,7,10,70,19,6,8,103
Senin,7,20,59,15,9,4,87
Senin,7,30,68,28,5,8,109
Senin,7,40,84,21,11,3,119
Senin,7,50,85,25,9,7,126
Senin,7,60,76,19,7,3,105
Senin,8,10,71,16,3,3,93
Senin,8,20,37,12,7,2,58
Senin,8,30,40,18,7,4,69
Senin,8,40,60,13,1,5,79
Senin,8,50,47,15,7,4,73
Senin,8,60,55,24,3,4,86
Senin,15,10,40,13,6,4,63
Senin,15,20,44,16,4,2,66
Senin,15,30,32,7,6,2,47
Senin,15,40,38,12,5,4,59
Senin,15,50,47,11,4,3,65
Senin,15,60,38,17,5,4,64
Senin,16,10,64,23,6,2,95
Senin,16,20,62,15,4,4,85
Senin,16,30,70,18,6,5,99
Senin,16,40,60,28,6,1,95
Senin,16,50,65,19,8,4,96
Senin,16,60,56,13,5,2,76
Senin,17,10,74,28,11,5,118
Senin,17,20,66,27,10,3,106
Senin,17,30,80,25,6,5,116
Senin,17,40,80,27,6,3,116
Senin,17,50,91,23,11,3,128
Senin,17,60,85,30,5,1,121
Senin,18,10,39,22,4,6,71
Senin,18,20,49,18,8,5,80
Senin,18,30,75,22,7,4,108
Senin,18,40,62,15,4,3,84
Senin,18,50,53,15,7,4,79
Senin,18,60,55,23,3,3,84
Senin,19,10,29,5,3,2,39
Senin,19,20,44,12,2,4,62
Senin,19,30,42,12,3,1,58
Senin,19,40,31,14,5,4,54
Senin,19,50,30,7,3,0,40
Senin,19,60,36,10,3,1,50
Selasa,6,10,31,7,2,0,40
Selasa,6,20,28,14,5,2,49
Selasa,6,30,24,10,2,2,38
Selasa,6,40,33,13,3,2,51
Selasa,6,50,23,7,3,2,35
Selasa,6,60,33,7,4,2,46
Selasa,7,10,72,18,1,6,97
Selasa,7,20,81,21,6,5,113
Selasa,7,30,53,19,8,1,81
Selasa,7,40,76,15,7,4,102
Selasa,7,50,53,28,5,2,88
Selasa,7,60,74,28,4,4,110
Selasa,8,10,52,18,4,3,77
Selasa,8,20,40,15,2,0,57
Selasa,8,30,52,19,0,2,73
Selasa,8,40,54,23,4,2,83
Selasa,8,50,46,20,3,2,71
Selasa,8,60,43,11,4,5,63
Selasa,15,10,41,11,4,1,57
Selasa,15,20,45,12,4,6,67
Selasa,15,30,40,10,4,4,58
Selasa,15,40,39,8,5,2,54
Selasa,15,50,53,15,4,4,76
Selasa,15,60,39,15,4,2,60
Selasa,16,10,49,21,4,3,77
Selasa,16,20,45,19,9,2,75
Selasa,16,30,55,23,5,3,86
Selasa,16,40,44,19,5,4,72
Selasa,16,50,67,27,6,3,103
Selasa,16,60,57,16,6,3,82
Selasa,17,10,80,31,5,6,122
Selasa,17,20,95,23,3,3,124
Selasa,17,30,95,24,5,3,127
Selasa,17,40,89,27,7,3,126
Selasa,17,50,73,19,10,3,105
Selasa,17,60,94,32,9,3,138
Selasa,18,10,56,16,3,3,78
Selasa,18,20,40,21,4,3,68
Selasa,18,30,55,15,6,3,79
Selasa,18,40,61,11,5,5,82
Selasa,18,50,42,13,6,3,64
Selasa,18,60,56,18,6,4,84
Selasa,19,10,35,9,4,4,52
Selasa,19,20,31,7,4,2,44
Selasa,19,30,17,13,2,2,34
Selasa,19,40,34,11,4,2,51
Selasa,19,50,36,9,4,3,52
Selasa,19,60,25,13,2,3,43
Rabu,6,10,31,15,3,2,51
Rabu,6,20,28,8,4,0,40
Rabu,6,30,22,6,4,4,36
Rabu,6,40,28,9,3,3,43
Rabu,6,50,23,10,4,3,40
Rabu,6,60,30,12,0,3,45
Rabu,7,10,66,13,7,7,93
Rabu,7,20,72,27,9,7,115
Rabu,7,30,93,26,6,1,126
Rabu,7,40,70,18,10,4,102
Rabu,7,50,75,25,6,7,113
Rabu,7,60,66,23,5,1,95
Rabu,8,10,43,15,3,2,63
Rabu,8,20,35,15,1,4,55
Rabu,8,30,50,9,3,2,64
Rabu,8,40,52,21,0,3,76
Rabu,8,50,47,18,5,2,72
Rabu,8,60,46,12,6,3,67
Rabu,15,10,54,12,3,2,71
Rabu,15,20,24,7,4,4,39
Rabu,15,30,26,15,4,3,48
Rabu,15,40,52,15,4,2,73
Rabu,15,50,22,10,4,2,38
Rabu,15,60,38,12,4,2,56
Rabu,16,10,58,19,3,4,84
Rabu,16,20,55,17,7,3,82
Rabu,16,30,66,18,4,3,91
Rabu,16,40,45,18,5,3,71
Rabu,16,50,55,10,4,3,72
Rabu,16,60,58,13,8,2,81
Rabu,17,10,92,27,6,8,133
Rabu,17,20,64,29,9,3,105
Rabu,17,30,98,23,8,5,134
Rabu,17,40,78,29,9,1,117
Rabu,17,50,97,16,9,6,128
Rabu,17,60,65,22,5,4,96
Rabu,18,10,50,19,8,4,81
Rabu,18,20,47,15,2,2,66
Rabu,18,30,63,23,3,2,91
Rabu,18,40,53,17,3,3,76
Rabu,18,50,48,16,6,3,73
Rabu,18,60,49,16,5,3,73
Rabu,19,10,31,15,4,2,52
Rabu,19,20,38,9,4,2,53
Rabu,19,30,32,12,1,1,46
Rabu,19,40,24,11,5,4,44
Rabu,19,50,37,12,1,1,51
Rabu,19,60,27,8,3,2,40
Kamis,6,10,16,11,2,2,31
Kamis,6,20,40,6,0,2,48
Kamis,6,30,35,15,2,2,54
Kamis,6,40,25,9,6,0,40
Kamis,6,50,30,10,4,2,46
Kamis,6,60,30,8,3,2,43
Kamis,7,10,79,20,7,4,110
Kamis,7,20,86,22,2,7,117
Kamis,7,30,61,19,5,7,92
Kamis,7,40,46,38,8,4,96
Kamis,7,50,71,23,7,5,106
Kamis,7,60,79,22,6,4,111
Kamis,8,10,46,20,5,0,71
Kamis,8,20,55,16,4,3,78
Kamis,8,30,59,19,2,3,83
Kamis,8,40,38,9,3,4,54
Kamis,8,50,58,17,5,4,84
Kamis,8,60,42,17,6,4,69
Kamis,15,10,48,14,4,4,70
Kamis,15,20,38,9,4,2,53
Kamis,15,30,33,12,3,3,51
Kamis,15,40,23,13,4,2,42
Kamis,15,50,43,15,2,2,62
Kamis,15,60,32,9,5,3,49
Kamis,16,10,52,9,6,2,69
Kamis,16,20,56,18,8,2,84
Kamis,16,30,25,18,9,4,56
Kamis,16,40,57,15,7,2,81
Kamis,16,50,60,19,7,6,92
Kamis,16,60,59,15,5,1,80
Kamis,17,10,69,22,6,4,101
Kamis,17,20,67,30,7,4,108
Kamis,17,30,74,25,9,2,110
Kamis,17,40,69,22,4,2,97
Kamis,17,50,72,28,8,4,112
Kamis,17,60,89,23,8,4,124
Kamis,18,10,55,14,0,3,72
Kamis,18,20,66,20,7,4,97
Kamis,18,30,53,17,4,3,77
Kamis,18,40,58,21,5,3,87
Kamis,18,50,52,18,2,1,73
Kamis,18,60,46,11,4,3,64
Kamis,19,10,29,14,3,2,48
Kamis,19,20,36,7,4,2,49
Kamis,19,30,37,7,1,3,48
Kamis,19,40,35,7,2,3,47
Kamis,19,50,24,15,2,3,44
Kamis,19,60,30,12,2,2,46
Jumat,6,10,31,7,4,2,44
Jumat,6,20,29,7,1,2,39
Jumat,6,30,45,12,3,2,62
Jumat,6,40,31,12,2,3,48
Jumat,6,50,35,12,4,2,53
Jumat,6,60,35,12,3,2,52
Jumat,7,10,80,32,4,1,117
Jumat,7,20,81,24,7,5,117
Jumat,7,30,77,32,3,3,115
Jumat,7,40,78,16,6,8,108
Jumat,7,50,79,25,4,3,111
Jumat,7,60,75,23,9,6,113
Jumat,8,10,42,17,5,4,68
Jumat,8,20,69,12,3,2,86
Jumat,8,30,50,18,6,3,77
Jumat,8,40,50,17,3,5,75
Jumat,8,50,37,17,8,3,65
Jumat,8,60,51,15,4,5,75
Jumat,15,10,24,18,3,3,48
Jumat,15,20,38,15,3,4,60
Jumat,15,30,58,9,5,3,75
Jumat,15,40,45,13,4,4,66
Jumat,15,50,56,13,5,2,76
Jumat,15,60,34,15,6,4,59
Jumat,16,10,57,19,3,4,83
Jumat,16,20,69,17,5,4,95
Jumat,16,30,56,18,10,3,87
Jumat,16,40,57,16,7,3,83
Jumat,16,50,54,24,8,3,89
Jumat,16,60,42,23,4,4,73
Jumat,17,10,60,31,5,6,102
Jumat,17,20,86,22,7,6,121
Jumat,17,30,87,29,12,1,129
Jumat,17,40,107,27,6,2,142
Jumat,17,50,83,31,7,7,128
Jumat,17,60,67,26,5,5,103
Jumat,18,10,66,16,0,3,85
Jumat,18,20,62,19,8,2,91
Jumat,18,30,64,22,2,4,92
Jumat,18,40,52,17,6,3,78
Jumat,18,50,50,18,3,2,73
Jumat,18,60,64,13,7,4,88
Jumat,19,10,23,9,4,1,37
Jumat,19,20,32,12,4,2,50
Jumat,19,30,31,15,5,3,54
Jumat,19,40,36,9,2,3,50
Jumat,19,50,38,15,4,1,58
Jumat,19,60,43,8,3,2,56
Sabtu,6,10,36,17,3,2,58
Sabtu,6,20,27,10,2,3,42
Sabtu,6,30,25,9,3,2,39
Sabtu,6,40,29,6,2,1,38
Sabtu,6,50,26,10,3,3,42
Sabtu,6,60,24,10,1,1,36
Sabtu,7,10,70,23,5,3,101
Sabtu,7,20,43,17,7,5,72
Sabtu,7,30,67,19,5,2,93
Sabtu,7,40,70,21,6,2,99
Sabtu,7,50,35,24,4,2,65
Sabtu,7,60,70,17,7,5,99
Sabtu,8,10,48,7,6,3,64
Sabtu,8,20,37,13,0,3,53
Sabtu,8,30,31,7,0,4,42
Sabtu,8,40,35,19,2,1,57
Sabtu,8,50,30,18,3,2,53
Sabtu,8,60,42,15,6,4,67
Sabtu,15,10,29,6,3,3,41
Sabtu,15,20,25,7,4,3,39
Sabtu,15,30,33,8,3,2,46
Sabtu,15,40,39,13,2,2,56
Sabtu,15,50,20,8,3,1,32
Sabtu,15,60,25,7,4,3,39
Sabtu,16,10,40,15,3,2,60
Sabtu,16,20,63,20,2,3,88
Sabtu,16,30,55,10,6,4,75
Sabtu,16,40,36,11,6,3,56
Sabtu,16,50,52,16,5,1,74
Sabtu,16,60,57,19,4,3,83
Sabtu,17,10,46,23,7,3,79
Sabtu,17,20,81,19,7,1,108
Sabtu,17,30,66,20,6,3,95
Sabtu,17,40,65,25,5,0,95
Sabtu,17,50,89,27,3,5,124
Sabtu,17,60,60,22,7,3,92
Sabtu,18,10,36,11,2,2,51
Sabtu,18,20,44,11,6,4,65
Sabtu,18,30,38,15,5,3,61
Sabtu,18,40,45,17,5,1,68
Sabtu,18,50,53,17,3,3,76
Sabtu,18,60,51,13,6,5,75
Sabtu,19,10,22,4,3,2,31
Sabtu,19,20,26,13,1,2,42
Sabtu,19,30,23,14,5,1,43
Sabtu,19,40,23,11,2,2,38
Sabtu,19,50,27,3,3,1,34
Sabtu,19,60,24,13,1,3,41
Minggu,6,10,19,6,3,2,30
Minggu,6,20,24,10,2,1,37
Minggu,6,30,14,4,5,3,26
Minggu,6,40,13,3,3,2,21
Minggu,6,50,24,6,2,2,34
Minggu,6,60,22,0,2,1,25
Minggu,7,10,56,31,5,2,94
Minggu,7,20,65,19,5,4,93
Minggu,7,30,79,11,5,1,96
Minggu,7,40,61,12,4,2,79
Minggu,7,50,66,21,2,3,92
Minggu,7,60,45,10,4,2,61
Minggu,8,10,60,13,0,2,75
Minggu,8,20,46,20,0,0,66
Minggu,8,30,55,13,1,3,72
Minggu,8,40,10,11,4,3,28
Minggu,8,50,26,12,1,3,42
Minggu,8,60,27,10,1,3,41
Minggu,15,10,35,8,3,1,47
Minggu,15,20,26,9,6,1,42
Minggu,15,30,40,12,3,4,59
Minggu,15,40,31,10,3,3,47
Minggu,15,50,37,7,2,2,48
Minggu,15,60,22,9,4,2,37
Minggu,16,10,41,13,5,0,59
Minggu,16,20,35,14,6,2,57
Minggu,16,30,22,15,2,1,40
Minggu,16,40,35,12,3,0,50
Minggu,16,50,50,18,5,1,74
Minggu,16,60,39,13,5,3,60
Minggu,17,10,49,18,6,6,79
Minggu,17,20,68,22,5,6,101
Minggu,17,30,64,14,8,4,90
Minggu,17,40,53,16,6,4,79
Minggu,17,50,61,20,9,5,95
Minggu,17,60,61,23,3,4,91
Minggu,18,10,57,11,2,2,72
Minggu,18,20,28,9,3,1,41
Minggu,18,30,39,16,2,4,61
Minggu,18,40,44,16,2,3,65
Minggu,18,50,28,16,4,3,51
Minggu,18,60,27,8,5,1,41
Minggu,19,10,27,3,3,0,33
Minggu,19,20,28,9,2,2,41
Minggu,19,30,26,6,1,0,33
Minggu,19,40,26,3,2,1,32
Minggu,19,50,29,7,2,2,40
Minggu,19,60,26,8,3,0,37
